dataset,scene,candidate,baseline,candidate_abs_rel,baseline_abs_rel,abs_rel_delta,abs_rel_better,candidate_rmse,baseline_rmse,rmse_delta,rmse_better,candidate_delta1,baseline_delta1,delta1_delta,delta1_better,all_metrics_better
Matterport3D,Matterport3D_00000,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.11246685683727264,0.23264463245868683,-0.12017777562141418,True,0.3754289448261261,0.6409152746200562,-0.26548632979393005,True,0.8550305962562561,0.5448078513145447,0.3102227449417114,True,True
Matterport3D,Matterport3D_00001,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.5489351749420166,0.5824269652366638,-0.03349179029464722,True,1.249700903892517,1.2936463356018066,-0.04394543170928955,True,0.0005214260891079903,0.002099111210554838,-0.001577685121446848,False,False
Matterport3D,Matterport3D_00002,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.2715560793876648,0.38876813650131226,-0.11721205711364746,True,0.7289494872093201,0.9781277775764465,-0.24917829036712646,True,0.2755616307258606,0.027334054931998253,0.24822757579386234,True,True
Matterport3D,Matterport3D_00003,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.46740010380744934,0.5364530682563782,-0.06905296444892883,True,1.0663694143295288,1.2483057975769043,-0.1819363832473755,True,0.001104620168916881,0.005807009991258383,-0.004702389822341502,False,False
Matterport3D,Matterport3D_00004,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.4743604362010956,0.5695460438728333,-0.09518560767173767,True,1.068650245666504,1.2638025283813477,-0.19515228271484375,True,0.0005476950318552554,0.0021325754933059216,-0.0015848804614506662,False,False
Stanford2D3D,Stanford2D3D_00000,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.6039013862609863,0.7098120450973511,-0.10591065883636475,True,2.9955086708068848,2.7537550926208496,0.24175357818603516,False,0.009876617230474949,3.350918632349931e-05,0.00984310804415145,True,False
Stanford2D3D,Stanford2D3D_00001,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.40917113423347473,0.4764302968978882,-0.06725916266441345,True,0.8911864757537842,0.8455833196640015,0.045603156089782715,False,0.17921124398708344,0.0,0.17921124398708344,True,False
Stanford2D3D,Stanford2D3D_00002,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.63288414478302,0.7084797024726868,-0.07559555768966675,True,2.9464731216430664,2.6919174194335938,0.25455570220947266,False,0.012978995218873024,6.783596472814679e-05,0.012911159254144877,True,False
Stanford2D3D,Stanford2D3D_00003,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.5046910047531128,0.6057242155075073,-0.10103321075439453,True,2.415933132171631,1.968198537826538,0.4477345943450928,False,0.06346934288740158,0.0,0.06346934288740158,True,False
Stanford2D3D,Stanford2D3D_00004,DreamScene360-PanoGeo-DA3-P240,DA3-Direct-LocalSamples,0.686726987361908,0.7468817830085754,-0.06015479564666748,True,3.2597861289978027,3.0634121894836426,0.19637393951416016,False,0.00275768106803298,0.0006270584999583662,0.002130622568074614,True,False
